"","X.2","ExperimentID","Subcondition","Dep.measure","X.1","Paper.ID","row","exclude","Entered..by","Authors","Year","Experiment.name","N.subjects","num.data.1","num.data.2","N.unique.items","N.items.per.subj","num.data.items.1","num.data.items.2","Population","L1L1..L2L1..L1L2..L2L2","Auditory.prime","Target.task","Participant.produces.or.repeats.prime","Construction.type","Language","Lexical.boost.","Confederate.dialogue.","Lag","Quoted.text.from.original.paper.indicating.prediction.of.interest","Study.design","Dep.primed","participant.se..dep.primed.","Alt.primed","participant.se..alt.primed.","Simple.effect","se.on.diff","Other.pct","beta.from.lmer","std.error.on.beta","Dep.Omnibus.mean","Alt.Omnibus.mean","ANOVA.F1","ANOVA.F2","Baseline","participant.se..baseline.","Notes","X","p.repeats.prime","ID","StudyID","YearNum","L1","Other.pct.new","Alt.primed.new","Dep.primed.new"
"71",71,"18/Hartsuiker/2008/Experiment 3/lag 6, diff verb/dative","lag 6, diff verb","PO",156,18,149,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 3","48&48",48,48,"24","2&2",2,2,"students ","L1L1","0","PD",0,"dative","Dutch","no","yes","filler","p. 223: we now turn to the question of how long syntactic priming and especially the lexical boost of priming persist in written dialogue. Therefore, we manipulated lag (i.e., the number of fillers between prime and target).","prime type (DO/PO) x verb (same/diff) x lag (0,2,6)",0.67,"0.05773502692",0.64,"0.05773502692",0.03,"",0,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 3/lag 6, diff verb/PO","18/Hartsuiker/2008/Experiment 3",8,"L1L1",NA,NA,NA
"72",72,"18/Hartsuiker/2008/Experiment 3/lag 6, same verb/dative","lag 6, same verb","PO",153,18,146,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 3","48&48",48,48,"24","2&2",2,2,"students ","L1L1","0","PD",0,"dative","Dutch","yes","yes","filler","p. 223: we now turn to the question of how long syntactic priming and especially the lexical boost of priming persist in written dialogue. Therefore, we manipulated lag (i.e., the number of fillers between prime and target).","prime type (DO/PO) x verb (same/diff) x lag (0,2,6)",0.61,"0.05629165125",0.63,"0.06062177826",-0.02,"",0,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 3/lag 6, same verb/PO","18/Hartsuiker/2008/Experiment 3",8,"L1L1",NA,NA,NA
"73",73,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 0/dative","spoken, session 1, diff, lag 0","PO",160,18,153,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.73,"0.04618802154",0.66,"0.0534048999",0.07,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"74",74,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 2/dative","spoken, session 1, diff, lag 2","PO",161,18,154,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.75,"0.04330127019",0.67,"0.06062177826",0.08,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"75",75,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 6/dative","spoken, session 1, diff, lag 6","PO",162,18,155,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.76,"0.04330127019",0.64,"0.05484827557",0.12,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, diff, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"76",76,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 0/dative","spoken, session 1, same, lag 0","PO",157,18,150,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)I'",0.88,"0.03175426481",0.45,"0.05773502692",0.43,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"77",77,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 2/dative","spoken, session 1, same, lag 2","PO",158,18,151,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.85,"0.03175426481",0.6,"0.0534048999",0.25,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"78",78,"18/Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 6/dative","spoken, session 1, same, lag 6","PO",159,18,152,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.04907477288",0.63,"0.05917840259",0.06,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 1, same, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"79",79,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 0/dative","spoken, session 2, diff, lag 0","PO",166,18,159,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.04474464586",0.51,"0.0534048999",0.18,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"80",80,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 2/dative","spoken, session 2, diff, lag 2","PO",167,18,160,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.6,"0.05629165125",0.53,"0.0534048999",0.07,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"81",81,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 6/dative","spoken, session 2, diff, lag 6","PO",168,18,161,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.53,"0.0534048999",0.51,"0.05629165125",0.02,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, diff, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"82",82,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 0/dative","spoken, session 2, same, lag 0","PO",163,18,156,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.04907477288",0.28,"0.05196152423",0.41,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"83",83,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 2/dative","spoken, session 2, same, lag 2","PO",164,18,157,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.05484827557",0.57,"0.0534048999",0.12,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"84",84,"18/Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 6/dative","spoken, session 2, same, lag 6","PO",165,18,158,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","1","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.65,"0.05196152423",0.59,"0.05484827557",0.06,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/spoken, session 2, same, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"85",85,"18/Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 0/dative","written, session 1, diff, lag 0","PO",172,18,165,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.56,"0.05196152423",0.33,"0.05051814855",0.23,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"86",86,"18/Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 2/dative","written, session 1, diff, lag 2","PO",173,18,166,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.58,"0.05917840259",0.44,"0.05773502692",0.14,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"87",87,"18/Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 6/dative","written, session 1, diff, lag 6","PO",174,18,167,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.56,"0.05917840259",0.38,"0.05196152423",0.18,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, diff, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"88",88,"18/Hartsuiker/2008/Experiment 4/written, session 1, same, lag 0/dative","written, session 1, same, lag 0","PO",169,18,162,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.68,"0.04618802154",0.26,"0.04763139721",0.42,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, same, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"89",89,"18/Hartsuiker/2008/Experiment 4/written, session 1, same, lag 2/dative","written, session 1, same, lag 2","PO",170,18,163,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.54,"0.05773502692",0.31,"0.0534048999",0.23,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, same, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"90",90,"18/Hartsuiker/2008/Experiment 4/written, session 1, same, lag 6/dative","written, session 1, same, lag 6","PO",171,18,164,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.53,"0.05051814855",0.43,"0.04763139721",0.1,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 1, same, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"91",91,"18/Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 0/dative","written, session 2, diff, lag 0","PO",178,18,171,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.04474464586",0.51,"0.0534048999",0.18,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"92",92,"18/Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 2/dative","written, session 2, diff, lag 2","PO",179,18,172,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.6,"0.05629165125",0.53,"0.05773502692",0.07,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"93",93,"18/Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 6/dative","written, session 2, diff, lag 6","PO",180,18,173,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","no","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.53,"0.0534048999",0.51,"0.05629165125",0.02,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, diff, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"94",94,"18/Hartsuiker/2008/Experiment 4/written, session 2, same, lag 0/dative","written, session 2, same, lag 0","PO",175,18,168,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","0","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.04907477288",0.28,"0.05196152423",0.41,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, same, lag 0/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"95",95,"18/Hartsuiker/2008/Experiment 4/written, session 2, same, lag 2/dative","written, session 2, same, lag 2","PO",176,18,169,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.69,"0.05484827557",0.57,"0.0534048999",0.12,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, same, lag 2/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"96",96,"18/Hartsuiker/2008/Experiment 4/written, session 2, same, lag 6/dative","written, session 2, same, lag 6","PO",177,18,170,0,"AJ","Hartsuiker R.J., Bernolet S., Schoonbaert S., Speybroeck S., Vanderelst D.","2008","Experiment 4","48&48",48,48,"36","1.5&1.5",1.5,1.5,"students at Ghent University","L1L1","0","PD",0,"dative","Dutch","yes","yes","filler","p. 225: To test whether the fast decay of the lexical boost can be replicated, and to assess whether the longevity of syntactic priming varies with modality, Experiment 4 directly compared syntactic priming in the written and spoken modalities, while increasing the statistical power.","modality (written/spoken; within subj, between sessions) x session (1 or 2) x prime type (DO/PO) x verb (same/diff) x lag (0/2/6)",0.65,"0.05196152423",0.59,"0.05484827557",0.06,"",0.022,NA,NA,NA,NA,"","",NA,"","","",0,"Hartsuiker/2008/Experiment 4/written, session 2, same, lag 6/PO","18/Hartsuiker/2008/Experiment 4",8,"L1L1",NA,NA,NA
"97",97,"19/Hartsuiker/1998a//dative, session 1/dative","dative, session 1","DO",185,19,178,0,"AJ","Hartsuiker R.J., Kolk H.H.J.","1998a","","12&12",12,12,"27","9&9",9,9,"middle-aged controls for 12 aphasic patients","L1L1","1","PD",1,"dative","Dutch","yes","no","0","p. 224-5: ""...are Brocas susceptible to syntactic priming, and if so, are they susceptible to syntactic priming to the same extent as normal controls? A priming effect for Brocas, especially from more complex sentence structures, would support the hypothesis that priming can overcome a resource limitation.""","group (patient/control) x prime type (active/passive/baseline or DO/PO/baseline) x congruent position&animacy (yes/no; transitive only) x session (1/2/3)",0.253012048192771,"",0.25,"",-0.01,"",0.145,NA,NA,NA,NA,"","",0.39,"","locative baseline for transitive, intransitive baseline for dative; congruency factor is looked at separately from priming; in session 3, Ps told to copy prime structure; proportions don't sum to 1 (""other"" is counted)","",1,"Hartsuiker/1998a//dative, session 1/DO","19/Hartsuiker/1998a/",-2,"L1L1",0.145,0.25,0.253012048192771
"98",98,"19/Hartsuiker/1998a//dative, session 1/dative","dative, session 1","PO",186,19,179,0,"AJ","Hartsuiker R.J., Kolk H.H.J.","1998a","","12&12",12,12,"27","9&9",9,9,"middle-aged controls for 12 aphasic patients","L1L1","1","PD",1,"dative","Dutch","yes","no","0","p. 224-5: ""...are Brocas susceptible to syntactic priming, and if so, are they susceptible to syntactic priming to the same extent as normal controls? A priming effect for Brocas, especially from more complex sentence structures, would support the hypothesis that priming can overcome a resource limitation.""","group (patient/control) x prime type (active/passive/baseline or DO/PO/baseline) x congruent position&animacy (yes/no; transitive only) x session (1/2/3)",0.75,"",0.746987951807229,"",0.04,"",0.145,NA,NA,NA,NA,"","",0.4,"","locative baseline for transitive, intransitive baseline for dative; congruency factor is looked at separately from priming; in session 3, Ps told to copy prime structure; proportions don't sum to 1 (""other"" is counted)","",1,"Hartsuiker/1998a//dative, session 1/PO","19/Hartsuiker/1998a/",-2,"L1L1",0.145,0.746987951807229,0.75
